,frameNo,position,SEQ,No,filepPath,x,y
670,52,11,11,1,./data/52.jpg,1087,702
685,53,11,11,1,./data/53.jpg,1090,699
700,54,11,11,1,./data/54.jpg,1050,675
715,55,11,11,1,./data/55.jpg,1053,665
730,56,11,11,1,./data/56.jpg,1063,651
745,57,11,11,1,./data/57.jpg,1080,645
760,58,11,11,1,./data/58.jpg,1090,628
775,59,11,11,1,./data/59.jpg,1110,621
790,60,11,10,1,./data/60.jpg,1117,618
805,61,11,9,1,./data/61.jpg,1133,608
11,8,12,12,1,./data/8.jpg,883,844
26,9,12,12,1,./data/9.jpg,877,844
41,10,12,12,1,./data/10.jpg,873,844
56,11,12,12,1,./data/11.jpg,867,844
71,12,12,12,1,./data/12.jpg,853,840
86,13,12,12,1,./data/13.jpg,850,847
101,14,12,12,1,./data/14.jpg,837,844
116,15,12,12,1,./data/15.jpg,817,837
131,16,12,12,1,./data/16.jpg,803,837
146,17,12,12,1,./data/17.jpg,787,834
161,18,12,12,1,./data/18.jpg,767,817
176,19,12,12,1,./data/19.jpg,753,810
191,20,12,12,1,./data/20.jpg,737,807
206,21,12,12,1,./data/21.jpg,720,796
221,22,12,11,1,./data/22.jpg,713,793
236,23,12,12,1,./data/23.jpg,707,786
251,24,12,12,1,./data/24.jpg,697,776
266,25,12,12,1,./data/25.jpg,693,770
281,26,12,12,1,./data/26.jpg,693,770
296,27,12,12,1,./data/27.jpg,700,770
311,28,12,12,1,./data/28.jpg,700,773
326,29,12,12,1,./data/29.jpg,707,783
341,30,12,12,1,./data/30.jpg,713,786
356,31,12,12,1,./data/31.jpg,733,800
371,32,12,12,1,./data/32.jpg,743,807
386,33,12,12,1,./data/33.jpg,763,817
401,34,12,12,1,./data/34.jpg,783,830
416,35,12,12,1,./data/35.jpg,807,837
431,36,12,12,1,./data/36.jpg,830,837
446,37,12,12,1,./data/37.jpg,853,844
461,38,12,12,1,./data/38.jpg,887,850
476,39,12,12,1,./data/39.jpg,923,857
491,40,12,12,1,./data/40.jpg,947,854
506,41,12,12,1,./data/41.jpg,977,854
521,42,12,12,1,./data/42.jpg,1017,854
536,43,12,12,1,./data/43.jpg,1050,844
551,44,12,12,1,./data/44.jpg,1080,837
566,45,12,12,1,./data/45.jpg,1103,830
581,46,12,12,1,./data/46.jpg,1123,824
596,47,12,12,1,./data/47.jpg,1140,820
611,48,12,12,1,./data/48.jpg,1157,830
626,49,12,12,1,./data/49.jpg,1173,834
641,50,12,12,1,./data/50.jpg,1187,830
656,51,12,12,1,./data/51.jpg,1200,830
671,52,12,12,1,./data/52.jpg,1203,820
686,53,12,12,1,./data/53.jpg,1203,824
701,54,12,12,1,./data/54.jpg,1203,824
716,55,12,12,1,./data/55.jpg,1207,817
731,56,12,12,1,./data/56.jpg,1210,820
746,57,12,12,1,./data/57.jpg,1210,820
761,58,12,12,1,./data/58.jpg,1213,827
776,59,12,12,1,./data/59.jpg,1217,824
791,60,12,11,1,./data/60.jpg,1217,817
806,61,12,10,1,./data/61.jpg,1217,817
12,8,13,13,1,./data/8.jpg,910,1029
27,9,13,13,1,./data/9.jpg,913,1029
42,10,13,13,1,./data/10.jpg,913,1026
57,11,13,13,1,./data/11.jpg,917,1026
72,12,13,13,1,./data/12.jpg,917,1026
87,13,13,13,1,./data/13.jpg,920,1026
102,14,13,13,1,./data/14.jpg,917,1019
117,15,13,13,1,./data/15.jpg,917,1023
132,16,13,13,1,./data/16.jpg,900,996
147,17,13,13,1,./data/17.jpg,890,979
162,18,13,13,1,./data/18.jpg,873,965
177,19,13,13,1,./data/19.jpg,853,965
192,20,13,13,1,./data/20.jpg,837,962
207,21,13,13,1,./data/21.jpg,817,958
222,22,13,12,1,./data/22.jpg,800,965
237,23,13,13,1,./data/23.jpg,777,969
252,24,13,13,1,./data/24.jpg,757,972
267,25,13,13,1,./data/25.jpg,733,982
282,26,13,13,1,./data/26.jpg,720,982
297,27,13,13,1,./data/27.jpg,713,982
312,28,13,13,1,./data/28.jpg,710,982
327,29,13,13,1,./data/29.jpg,700,986
342,30,13,13,1,./data/30.jpg,690,996
357,31,13,13,1,./data/31.jpg,693,1006
372,32,13,13,1,./data/32.jpg,707,1009
387,33,13,13,1,./data/33.jpg,713,1023
402,34,13,13,1,./data/34.jpg,740,1033
417,35,13,13,1,./data/35.jpg,777,1040
432,36,13,13,1,./data/36.jpg,820,1050
447,37,13,13,1,./data/37.jpg,873,1053
462,38,13,13,1,./data/38.jpg,927,1046
477,39,13,13,1,./data/39.jpg,980,1053
492,40,13,13,1,./data/40.jpg,1037,1053
507,41,13,13,1,./data/41.jpg,1080,1046
522,42,13,13,1,./data/42.jpg,1110,1029
537,43,13,13,1,./data/43.jpg,1140,1023
552,44,13,13,1,./data/44.jpg,1163,1019
567,45,13,13,1,./data/45.jpg,1183,1009
582,46,13,13,1,./data/46.jpg,1197,1009
597,47,13,13,1,./data/47.jpg,1207,1012
612,48,13,13,1,./data/48.jpg,1213,1016
627,49,13,13,1,./data/49.jpg,1223,1016
642,50,13,13,1,./data/50.jpg,1227,1019
657,51,13,13,1,./data/51.jpg,1227,1019
672,52,13,13,1,./data/52.jpg,1227,1019
687,53,13,13,1,./data/53.jpg,1227,1019
702,54,13,13,1,./data/54.jpg,1227,1016
717,55,13,13,1,./data/55.jpg,1223,1016
732,56,13,13,1,./data/56.jpg,1223,1012
747,57,13,13,1,./data/57.jpg,1220,1012
762,58,13,13,1,./data/58.jpg,1220,1012
777,59,13,13,1,./data/59.jpg,1217,1012
792,60,13,12,1,./data/60.jpg,1217,1009
807,61,13,11,1,./data/61.jpg,1213,1009
13,8,14,14,1,./data/8.jpg,797,256
28,9,14,14,1,./data/9.jpg,800,260
43,10,14,14,1,./data/10.jpg,800,260
58,11,14,14,1,./data/11.jpg,800,260
73,12,14,14,1,./data/12.jpg,800,263
88,13,14,14,1,./data/13.jpg,797,263
103,14,14,14,1,./data/14.jpg,797,263
118,15,14,14,1,./data/15.jpg,790,263
133,16,14,14,1,./data/16.jpg,787,263
148,17,14,14,1,./data/17.jpg,783,263
163,18,14,14,1,./data/18.jpg,783,263
178,19,14,14,1,./data/19.jpg,780,260
193,20,14,14,1,./data/20.jpg,777,260
208,21,14,14,1,./data/21.jpg,773,260
223,22,14,13,1,./data/22.jpg,770,260
238,23,14,14,1,./data/23.jpg,763,260
253,24,14,14,1,./data/24.jpg,760,260
268,25,14,14,1,./data/25.jpg,760,260
283,26,14,14,1,./data/26.jpg,757,263
298,27,14,14,1,./data/27.jpg,757,267
313,28,14,14,1,./data/28.jpg,753,270
328,29,14,14,1,./data/29.jpg,753,280
343,30,14,14,1,./data/30.jpg,753,284
358,31,14,14,1,./data/31.jpg,750,290
373,32,14,14,1,./data/32.jpg,750,300
388,33,14,14,1,./data/33.jpg,750,307
403,34,14,14,1,./data/34.jpg,750,310
418,35,14,14,1,./data/35.jpg,750,314
433,36,14,14,1,./data/36.jpg,757,317
448,37,14,14,1,./data/37.jpg,760,324
463,38,14,14,1,./data/38.jpg,773,327
478,39,14,14,1,./data/39.jpg,783,327
493,40,14,14,1,./data/40.jpg,800,327
508,41,14,14,1,./data/41.jpg,820,327
523,42,14,14,1,./data/42.jpg,843,321
538,43,14,14,1,./data/43.jpg,873,317
553,44,14,14,1,./data/44.jpg,903,310
568,45,14,14,1,./data/45.jpg,940,304
583,46,14,14,1,./data/46.jpg,977,297
598,47,14,14,1,./data/47.jpg,1017,294
613,48,14,14,1,./data/48.jpg,1060,297
628,49,14,14,1,./data/49.jpg,1093,307
643,50,14,14,1,./data/50.jpg,1130,314
658,51,14,14,1,./data/51.jpg,1157,310
673,52,14,14,1,./data/52.jpg,1190,334
688,53,14,14,1,./data/53.jpg,1227,344
703,54,14,14,1,./data/54.jpg,1253,354
718,55,14,14,1,./data/55.jpg,1277,358
733,56,14,14,1,./data/56.jpg,1300,361
748,57,14,14,1,./data/57.jpg,1323,364
763,58,14,14,1,./data/58.jpg,1347,375
778,59,14,14,1,./data/59.jpg,1367,385
793,60,14,13,1,./data/60.jpg,1387,392
808,61,14,12,1,./data/61.jpg,1397,402
14,8,15,15,1,./data/8.jpg,830,260
29,9,15,15,1,./data/9.jpg,830,260
44,10,15,15,1,./data/10.jpg,830,263
59,11,15,15,1,./data/11.jpg,830,263
74,12,15,15,1,./data/12.jpg,830,267
89,13,15,15,1,./data/13.jpg,827,267
104,14,15,15,1,./data/14.jpg,827,267
119,15,15,15,1,./data/15.jpg,823,267
134,16,15,15,1,./data/16.jpg,820,267
149,17,15,15,1,./data/17.jpg,813,267
164,18,15,15,1,./data/18.jpg,810,267
179,19,15,15,1,./data/19.jpg,807,267
194,20,15,15,1,./data/20.jpg,803,263
209,21,15,15,1,./data/21.jpg,800,263
224,22,15,14,1,./data/22.jpg,797,263
239,23,15,15,1,./data/23.jpg,790,263
254,24,15,15,1,./data/24.jpg,787,263
269,25,15,15,1,./data/25.jpg,783,263
284,26,15,15,1,./data/26.jpg,783,263
299,27,15,15,1,./data/27.jpg,780,267
314,28,15,15,1,./data/28.jpg,780,277
329,29,15,15,1,./data/29.jpg,777,284
344,30,15,15,1,./data/30.jpg,777,287
359,31,15,15,1,./data/31.jpg,777,294
374,32,15,15,1,./data/32.jpg,777,304
389,33,15,15,1,./data/33.jpg,777,310
404,34,15,15,1,./data/34.jpg,777,310
419,35,15,15,1,./data/35.jpg,777,317
434,36,15,15,1,./data/36.jpg,780,324
449,37,15,15,1,./data/37.jpg,787,327
464,38,15,15,1,./data/38.jpg,800,331
479,39,15,15,1,./data/39.jpg,807,331
494,40,15,15,1,./data/40.jpg,827,327
509,41,15,15,1,./data/41.jpg,847,327
524,42,15,15,1,./data/42.jpg,867,321
539,43,15,15,1,./data/43.jpg,893,317
554,44,15,15,1,./data/44.jpg,923,310
569,45,15,15,1,./data/45.jpg,953,307
584,46,15,15,1,./data/46.jpg,993,297
599,47,15,15,1,./data/47.jpg,1033,297
614,48,15,15,1,./data/48.jpg,1067,300
629,49,15,15,1,./data/48.jpg,1067,300
644,50,15,15,1,./data/48.jpg,1067,300
659,51,15,15,1,./data/48.jpg,1067,300
674,52,15,15,1,./data/48.jpg,1067,300
689,53,15,15,1,./data/48.jpg,1067,300
704,54,15,15,1,./data/48.jpg,1067,300
719,55,15,15,1,./data/48.jpg,1067,300
734,56,15,15,1,./data/48.jpg,1067,300
749,57,15,15,1,./data/48.jpg,1067,300
764,58,15,15,1,./data/48.jpg,1067,300
779,59,15,15,1,./data/48.jpg,1067,300
794,60,15,15,1,./data/48.jpg,1067,300
809,61,15,15,1,./data/48.jpg,1067,300
0,290,0,0,1,./data/290.jpg,830,219
15,291,0,0,1,./data/291.jpg,827,223
30,292,0,0,1,./data/292.jpg,823,226
45,293,0,0,1,./data/293.jpg,817,226
60,294,0,0,1,./data/294.jpg,810,226
75,295,0,0,1,./data/295.jpg,807,226
90,296,0,0,1,./data/296.jpg,803,223
105,297,0,0,1,./data/297.jpg,800,223
120,298,0,0,1,./data/298.jpg,793,219
135,299,0,0,1,./data/299.jpg,787,219
150,300,0,0,1,./data/300.jpg,783,219
165,301,0,0,1,./data/301.jpg,780,219
180,302,0,0,1,./data/302.jpg,777,226
195,303,0,0,1,./data/303.jpg,773,233
210,304,0,0,1,./data/304.jpg,763,240
225,305,0,0,1,./data/305.jpg,760,253
240,306,0,0,1,./data/306.jpg,760,260
255,307,0,0,1,./data/307.jpg,757,267
270,308,0,0,1,./data/308.jpg,757,280
285,309,0,0,1,./data/309.jpg,757,287
300,310,0,0,1,./data/310.jpg,757,294
315,311,0,0,1,./data/311.jpg,763,307
330,312,0,0,1,./data/312.jpg,773,310
345,313,0,0,1,./data/313.jpg,780,314
360,314,0,0,1,./data/314.jpg,800,321
375,315,0,0,1,./data/315.jpg,817,321
390,316,0,0,1,./data/316.jpg,840,321
405,317,0,0,1,./data/317.jpg,870,317
420,318,0,0,1,./data/318.jpg,903,310
435,319,0,0,1,./data/319.jpg,943,307
450,320,0,0,1,./data/320.jpg,987,294
465,321,0,0,1,./data/321.jpg,1030,290
480,322,0,0,1,./data/322.jpg,1073,290
495,323,0,0,1,./data/323.jpg,1120,294
510,324,0,0,1,./data/324.jpg,1160,307
525,325,0,0,1,./data/325.jpg,1200,317
540,326,0,0,1,./data/326.jpg,1230,321
555,327,0,0,1,./data/327.jpg,1260,331
570,328,0,0,1,./data/328.jpg,1297,348
585,329,0,0,1,./data/329.jpg,1310,351
600,330,0,0,1,./data/330.jpg,1327,351
615,331,0,0,1,./data/331.jpg,1350,348
630,332,0,0,1,./data/332.jpg,1370,348
645,333,0,0,1,./data/333.jpg,1383,354
660,334,0,0,1,./data/334.jpg,1397,358
675,335,0,0,1,./data/335.jpg,1407,361
690,336,0,0,1,./data/336.jpg,1417,361
1,290,2,2,1,./data/290.jpg,723,334
16,291,2,2,1,./data/291.jpg,720,334
31,292,2,2,1,./data/292.jpg,713,334
46,293,2,2,1,./data/293.jpg,710,334
61,294,2,2,1,./data/294.jpg,710,331
76,295,2,2,1,./data/295.jpg,703,327
91,296,2,2,1,./data/296.jpg,697,321
106,297,2,2,1,./data/297.jpg,693,317
121,298,2,2,1,./data/298.jpg,687,317
136,299,2,2,1,./data/299.jpg,687,310
151,300,2,2,1,./data/300.jpg,683,314
166,301,2,2,1,./data/301.jpg,683,314
181,302,2,2,1,./data/302.jpg,680,321
196,303,2,2,1,./data/303.jpg,670,331
211,304,2,2,1,./data/304.jpg,663,338
226,305,2,2,1,./data/305.jpg,663,351
241,306,2,2,1,./data/306.jpg,663,361
256,307,2,2,1,./data/307.jpg,663,375
271,308,2,2,1,./data/308.jpg,663,385
286,309,2,2,1,./data/309.jpg,663,395
301,310,2,2,1,./data/310.jpg,667,405
316,311,2,2,1,./data/311.jpg,673,415
331,312,2,2,1,./data/312.jpg,683,429
346,313,2,2,1,./data/313.jpg,687,432
361,314,2,2,1,./data/314.jpg,703,435
376,315,2,2,1,./data/315.jpg,713,435
391,316,2,2,1,./data/316.jpg,733,435
406,317,2,2,1,./data/317.jpg,757,432
421,318,2,2,1,./data/318.jpg,783,418
436,319,2,2,1,./data/319.jpg,817,408
451,320,2,2,1,./data/320.jpg,860,402
466,321,2,2,1,./data/321.jpg,900,392
481,322,2,2,1,./data/322.jpg,943,388
496,323,2,2,1,./data/323.jpg,993,385
511,324,2,2,1,./data/324.jpg,1050,392
526,325,2,2,1,./data/325.jpg,1110,405
541,326,2,2,1,./data/326.jpg,1173,385
556,327,2,2,1,./data/327.jpg,1207,388
571,328,2,2,1,./data/328.jpg,1240,395
586,329,2,2,1,./data/329.jpg,1273,402
601,330,2,2,1,./data/330.jpg,1297,412
616,331,2,2,1,./data/331.jpg,1320,425
631,332,2,2,1,./data/332.jpg,1337,439
646,333,2,2,1,./data/333.jpg,1347,446
661,334,2,2,1,./data/334.jpg,1353,442
676,335,2,2,1,./data/335.jpg,1360,442
691,336,2,2,1,./data/336.jpg,1370,439
2,290,3,3,1,./data/290.jpg,703,449
17,291,3,3,1,./data/291.jpg,693,446
32,292,3,3,1,./data/292.jpg,690,442
47,293,3,3,1,./data/293.jpg,687,452
62,294,3,3,1,./data/294.jpg,677,452
77,295,3,3,1,./data/295.jpg,667,452
92,296,3,3,1,./data/296.jpg,657,446
107,297,3,3,1,./data/297.jpg,647,435
122,298,3,3,1,./data/298.jpg,643,429
137,299,3,3,1,./data/299.jpg,643,402
152,300,3,3,1,./data/300.jpg,640,398
167,301,3,3,1,./data/301.jpg,637,398
182,302,3,3,1,./data/302.jpg,633,405
197,303,3,3,1,./data/303.jpg,630,422
212,304,3,3,1,./data/304.jpg,633,432
227,305,3,3,1,./data/305.jpg,633,446
242,306,3,3,1,./data/306.jpg,637,459
257,307,3,3,1,./data/307.jpg,640,476
272,308,3,3,1,./data/308.jpg,640,493
287,309,3,3,1,./data/309.jpg,643,503
302,310,3,3,1,./data/310.jpg,647,523
317,311,3,3,1,./data/311.jpg,653,540
332,312,3,3,1,./data/312.jpg,657,550
347,313,3,3,1,./data/313.jpg,660,554
362,314,3,3,1,./data/314.jpg,663,554
377,315,3,3,1,./data/315.jpg,670,547
392,316,3,3,1,./data/316.jpg,683,537
407,317,3,3,1,./data/317.jpg,693,520
422,318,3,3,1,./data/318.jpg,717,496
437,319,3,3,1,./data/319.jpg,737,469
452,320,3,3,1,./data/320.jpg,770,449
467,321,3,3,1,./data/321.jpg,807,432
482,322,3,3,1,./data/322.jpg,830,432
497,323,3,3,1,./data/323.jpg,877,402
512,324,3,3,1,./data/324.jpg,987,334
527,325,3,3,1,./data/325.jpg,1130,277
542,326,3,3,1,./data/326.jpg,1257,287
557,327,3,3,1,./data/327.jpg,1333,304
572,328,3,3,1,./data/328.jpg,1387,364
587,329,3,3,1,./data/329.jpg,1403,452
602,330,3,3,1,./data/330.jpg,1390,520
617,331,3,3,1,./data/331.jpg,1347,557
632,332,3,3,1,./data/332.jpg,1300,570
647,333,3,3,1,./data/333.jpg,1277,564
662,334,3,3,1,./data/334.jpg,1287,533
677,335,3,3,1,./data/335.jpg,1283,530
692,336,3,3,1,./data/336.jpg,1297,530
3,290,4,4,1,./data/290.jpg,710,479
18,291,4,4,1,./data/291.jpg,700,469
33,292,4,4,1,./data/292.jpg,690,459
48,293,4,4,1,./data/293.jpg,683,452
63,294,4,4,1,./data/294.jpg,667,442
78,295,4,4,1,./data/295.jpg,660,432
93,296,4,4,1,./data/296.jpg,643,415
108,297,4,4,1,./data/297.jpg,633,408
123,298,4,4,1,./data/298.jpg,620,405
138,299,4,4,1,./data/299.jpg,620,405
153,300,4,4,1,./data/300.jpg,613,415
168,301,4,4,1,./data/301.jpg,603,429
183,302,4,4,1,./data/302.jpg,593,452
198,303,4,4,1,./data/303.jpg,593,476
213,304,4,4,1,./data/304.jpg,593,500
228,305,4,4,1,./data/305.jpg,600,526
243,306,4,4,1,./data/306.jpg,610,554
258,307,4,4,1,./data/307.jpg,617,577
273,308,4,4,1,./data/308.jpg,617,601
288,309,4,4,1,./data/309.jpg,620,621
303,310,4,4,1,./data/310.jpg,623,634
318,311,4,4,1,./data/311.jpg,627,651
333,312,4,4,1,./data/312.jpg,633,662
348,313,4,4,1,./data/313.jpg,640,662
363,314,4,4,1,./data/314.jpg,643,658
378,315,4,4,1,./data/315.jpg,653,645
393,316,4,4,1,./data/316.jpg,660,631
408,317,4,4,1,./data/317.jpg,670,614
423,318,4,4,1,./data/318.jpg,687,580
438,319,4,4,1,./data/319.jpg,700,550
453,320,4,4,1,./data/320.jpg,720,506
468,321,4,4,1,./data/321.jpg,757,446
483,322,4,4,1,./data/322.jpg,810,381
498,323,4,4,1,./data/323.jpg,877,280
513,324,4,4,1,./data/324.jpg,987,196
528,325,4,4,1,./data/325.jpg,1127,162
543,326,4,4,1,./data/326.jpg,1293,172
558,327,4,4,1,./data/327.jpg,1433,236
573,328,4,4,1,./data/328.jpg,1493,358
588,329,4,4,1,./data/329.jpg,1493,479
603,330,4,4,1,./data/330.jpg,1443,587
618,331,4,4,1,./data/331.jpg,1363,648
633,332,4,4,1,./data/332.jpg,1273,668
648,333,4,4,1,./data/333.jpg,1227,621
663,334,4,4,1,./data/334.jpg,1250,574
678,335,4,4,1,./data/335.jpg,1253,560
693,336,4,4,1,./data/336.jpg,1260,564
4,290,5,5,1,./data/290.jpg,863,317
19,291,5,5,1,./data/291.jpg,853,317
34,292,5,5,1,./data/292.jpg,850,317
49,293,5,5,1,./data/293.jpg,843,317
64,294,5,5,1,./data/294.jpg,833,314
79,295,5,5,1,./data/295.jpg,830,310
94,296,5,5,1,./data/296.jpg,823,307
109,297,5,5,1,./data/297.jpg,813,300
124,298,5,5,1,./data/298.jpg,810,294
139,299,5,5,1,./data/299.jpg,803,290
154,300,5,5,1,./data/300.jpg,800,287
169,301,5,5,1,./data/301.jpg,797,290
184,302,5,5,1,./data/302.jpg,787,294
199,303,5,5,1,./data/303.jpg,783,307
214,304,5,5,1,./data/304.jpg,780,310
229,305,5,5,1,./data/305.jpg,777,317
244,306,5,5,1,./data/306.jpg,777,331
259,307,5,5,1,./data/307.jpg,777,334
274,308,5,5,1,./data/308.jpg,777,341
289,309,5,5,1,./data/309.jpg,780,354
304,310,5,5,1,./data/310.jpg,783,361
319,311,5,5,1,./data/311.jpg,793,371
334,312,5,5,1,./data/312.jpg,800,378
349,313,5,5,1,./data/313.jpg,810,385
364,314,5,5,1,./data/314.jpg,827,388
379,315,5,5,1,./data/315.jpg,850,388
394,316,5,5,1,./data/316.jpg,873,388
409,317,5,5,1,./data/317.jpg,900,385
424,318,5,5,1,./data/318.jpg,930,378
439,319,5,5,1,./data/319.jpg,963,371
454,320,5,5,1,./data/320.jpg,1003,371
469,321,5,5,1,./data/321.jpg,1040,381
484,322,5,5,1,./data/322.jpg,1080,392
499,323,5,5,1,./data/323.jpg,1110,418
514,324,5,5,1,./data/324.jpg,1130,432
529,325,5,5,1,./data/325.jpg,1147,408
544,326,5,5,1,./data/326.jpg,1117,425
559,327,5,5,1,./data/327.jpg,1133,429
574,328,5,5,1,./data/328.jpg,1143,425
589,329,5,5,1,./data/329.jpg,1157,412
604,330,5,5,1,./data/330.jpg,1167,405
619,331,5,5,1,./data/331.jpg,1183,398
634,332,5,5,1,./data/332.jpg,1207,385
649,333,5,5,1,./data/333.jpg,1217,381
664,334,5,5,1,./data/334.jpg,1230,375
679,335,5,5,1,./data/335.jpg,1237,364
694,336,5,5,1,./data/336.jpg,1247,361
5,290,6,6,1,./data/290.jpg,893,435
20,291,6,6,1,./data/291.jpg,880,435
35,292,6,6,1,./data/292.jpg,873,439
50,293,6,6,1,./data/293.jpg,857,435
65,294,6,6,1,./data/294.jpg,850,429
80,295,6,6,1,./data/295.jpg,833,422
95,296,6,6,1,./data/296.jpg,823,412
110,297,6,6,1,./data/297.jpg,810,405
125,298,6,6,1,./data/298.jpg,803,392
140,299,6,6,1,./data/299.jpg,787,388
155,300,6,6,1,./data/300.jpg,777,385
170,301,6,6,1,./data/301.jpg,763,385
185,302,6,6,1,./data/302.jpg,753,385
200,303,6,6,1,./data/303.jpg,740,398
215,304,6,6,1,./data/304.jpg,743,398
230,305,6,6,1,./data/305.jpg,743,405
245,306,6,6,1,./data/306.jpg,750,415
260,307,6,6,1,./data/307.jpg,757,425
275,308,6,6,1,./data/308.jpg,780,429
290,309,6,6,1,./data/309.jpg,800,439
305,310,6,6,1,./data/310.jpg,827,449
320,311,6,6,1,./data/311.jpg,853,435
335,312,6,6,1,./data/312.jpg,877,429
350,313,6,6,1,./data/313.jpg,903,415
365,314,6,6,1,./data/314.jpg,930,405
380,315,6,6,1,./data/315.jpg,960,385
395,316,6,6,1,./data/316.jpg,993,378
410,317,6,6,1,./data/317.jpg,1020,364
425,318,6,6,1,./data/318.jpg,1053,358
440,319,6,6,1,./data/319.jpg,1077,375
455,320,6,6,1,./data/320.jpg,1093,405
470,321,6,6,1,./data/321.jpg,1087,435
485,322,6,6,1,./data/322.jpg,1087,479
500,323,6,6,1,./data/323.jpg,1090,526
515,324,6,6,1,./data/324.jpg,1113,570
530,325,6,6,1,./data/324.jpg,1113,570
545,326,6,6,1,./data/326.jpg,1047,550
560,327,6,6,1,./data/327.jpg,1060,537
575,328,6,6,1,./data/328.jpg,1067,520
590,329,6,6,1,./data/329.jpg,1077,503
605,330,6,6,1,./data/330.jpg,1087,479
620,331,6,6,1,./data/331.jpg,1093,456
635,332,6,6,1,./data/332.jpg,1110,435
650,333,6,6,1,./data/333.jpg,1130,412
665,334,6,6,1,./data/334.jpg,1140,402
680,335,6,6,1,./data/335.jpg,1153,392
695,336,6,6,1,./data/336.jpg,1160,385
6,290,7,7,1,./data/290.jpg,807,472
21,291,7,7,1,./data/291.jpg,797,456
36,292,7,7,1,./data/292.jpg,783,442
51,293,7,7,1,./data/293.jpg,760,429
66,294,7,7,1,./data/294.jpg,750,408
81,295,7,7,1,./data/295.jpg,733,398
96,296,7,7,1,./data/296.jpg,720,385
111,297,7,7,1,./data/297.jpg,707,381
126,298,7,7,1,./data/298.jpg,690,385
141,299,7,7,1,./data/299.jpg,680,388
156,300,7,7,1,./data/300.jpg,663,405
171,301,7,7,1,./data/301.jpg,663,422
186,302,7,7,1,./data/302.jpg,663,442
201,303,7,7,1,./data/303.jpg,663,466
216,304,7,7,1,./data/304.jpg,680,486
231,305,7,7,1,./data/305.jpg,693,503
246,306,7,7,1,./data/306.jpg,717,520
261,307,7,7,1,./data/307.jpg,740,543
276,308,7,7,1,./data/308.jpg,780,540
291,309,7,7,1,./data/309.jpg,827,537
306,310,7,7,1,./data/310.jpg,873,537
321,311,7,7,1,./data/311.jpg,917,510
336,312,7,7,1,./data/312.jpg,960,479
351,313,7,7,1,./data/313.jpg,1010,456
366,314,7,7,1,./data/314.jpg,1047,425
381,315,7,7,1,./data/315.jpg,1083,398
396,316,7,7,1,./data/316.jpg,1117,381
411,317,7,7,1,./data/317.jpg,1140,378
426,318,7,7,1,./data/318.jpg,1160,381
441,319,7,7,1,./data/319.jpg,1170,402
456,320,7,7,1,./data/320.jpg,1180,435
471,321,7,7,1,./data/321.jpg,1160,483
486,322,7,7,1,./data/322.jpg,1153,520
501,323,7,7,1,./data/323.jpg,1140,550
516,324,7,7,1,./data/324.jpg,1157,570
531,325,7,7,1,./data/324.jpg,1157,570
546,326,7,7,1,./data/326.jpg,1110,564
561,327,7,7,1,./data/327.jpg,1113,570
576,328,7,7,1,./data/328.jpg,1120,530
591,329,7,7,1,./data/329.jpg,1130,547
606,330,7,7,1,./data/330.jpg,1140,547
621,331,7,7,1,./data/331.jpg,1140,533
636,332,7,7,1,./data/332.jpg,1147,526
651,333,7,7,1,./data/333.jpg,1153,506
666,334,7,7,1,./data/334.jpg,1150,472
681,335,7,7,1,./data/335.jpg,1160,459
696,336,7,7,1,./data/336.jpg,1160,456
7,290,8,8,1,./data/290.jpg,733,580
22,291,8,8,1,./data/291.jpg,727,577
37,292,8,8,1,./data/292.jpg,717,574
52,293,8,8,1,./data/293.jpg,710,570
67,294,8,8,1,./data/294.jpg,707,567
82,295,8,8,1,./data/295.jpg,700,567
97,296,8,8,1,./data/296.jpg,703,567
112,297,8,8,1,./data/297.jpg,707,564
127,298,8,8,1,./data/298.jpg,707,560
142,299,8,8,1,./data/299.jpg,710,554
157,300,8,8,1,./data/300.jpg,720,557
172,301,8,8,1,./data/301.jpg,730,557
187,302,8,8,1,./data/302.jpg,737,557
202,303,8,8,1,./data/303.jpg,743,567
217,304,8,8,1,./data/304.jpg,747,570
232,305,8,8,1,./data/305.jpg,750,577
247,306,8,8,1,./data/306.jpg,747,584
262,307,8,8,1,./data/307.jpg,753,597
277,308,8,8,1,./data/308.jpg,760,597
292,309,8,8,1,./data/309.jpg,763,608
307,310,8,8,1,./data/310.jpg,763,621
322,311,8,8,1,./data/311.jpg,767,624
337,312,8,8,1,./data/312.jpg,770,641
352,313,8,8,1,./data/313.jpg,777,648
367,314,8,8,1,./data/314.jpg,783,655
382,315,8,8,1,./data/315.jpg,793,662
397,316,8,8,1,./data/316.jpg,807,668
412,317,8,8,1,./data/317.jpg,827,668
427,318,8,8,1,./data/318.jpg,843,668
442,319,8,8,1,./data/319.jpg,867,668
457,320,8,8,1,./data/320.jpg,893,665
472,321,8,8,1,./data/321.jpg,920,658
487,322,8,8,1,./data/322.jpg,950,658
502,323,8,8,1,./data/323.jpg,987,662
517,324,8,8,1,./data/324.jpg,1013,662
532,325,8,6,1,./data/325.jpg,1040,658
547,326,8,8,1,./data/326.jpg,1057,655
562,327,8,8,1,./data/327.jpg,1070,658
577,328,8,8,1,./data/328.jpg,1090,648
592,329,8,8,1,./data/329.jpg,1110,638
607,330,8,8,1,./data/330.jpg,1130,628
622,331,8,8,1,./data/331.jpg,1153,618
